target, source
71,81
79,9
4,84
31,37
79,9
79,9
31,37
31,37
79,9
71,81
79,9
79,9
71,81
57,2
71,81
71,81
65,37
71,81
71,81
34,14
71,81
71,81
79,9
71,81
71,81
71,81
78,38
57,2
68,2
68,2
71,81
18,59
68,2
68,2
18,59
43,11
68,2
43,11
59,3
71,81
68,2
71,81
43,11
68,2
59,3
71,81
54,84
43,11
66,23
68,2
66,23
43,11
54,84
71,81
71,81
66,23
66,23
43,11
71,81
18,59
18,59
66,23
71,81
18,59
71,81
68,2
66,23
18,59
71,81
68,2
18,59
66,23
71,81
18,59
71,81
66,23
57,2
18,59
66,23
71,81
27,36
49,45
8,51
27,36
8,51
66,23
27,30
49,45
71,81
18,59
36,30
71,81
12,70
8,51
27,36
49,45
66,23
18,59
27,30
49,45
66,23
27,30
71,81
50,30
18,59
8,51
8,51
27,30
50,30
49,45
18,59
71,81
50,30
18,59
8,51
66,23
27,30
49,45
50,30
18,59
49,45
71,81
27,30
8,51
18,59
34,14
49,45
27,30
8,51
8,51
34,14
49,45
71,81
18,59
27,30
24,84
4,84
27,30
71,81
8,51
18,59
24,84
66,23
49,45
18,59
4,84
49,45
8,51
66,23
71,81
27,30
81,82
40,60
8,51
66,23
18,59
49,45
4,84
18,59
66,23
27,30
4,84
49,45
8,51
18,59
8,51
66,23
40,60
4,84
49,45
49,45
8,51
18,59
66,23
34,14
66,23
8,51
49,45
8,51
49,45
18,59
66,23
81,52
4,84
79,9
50,36
66,23
81,52
49,45
8,51
49,45
67,8
8,51
4,84
8,51
18,59
66,23
49,45
8,51
18,59
66,23
49,45
8,51
66,23
18,59
8,51
18,59
49,45
66,23
8,51
61,76
49,45
18,59
8,51
63,54
49,45
8,51
65,37
40,60
4,84
49,45
4,84
50,36
8,51
40,60
15,48
67,8
4,84
8,51
40,60
4,84
8,51
15,48
40,60
40,60
15,48
8,51
67,8
8,51
40,60
78,38
66,23
66,23
63,70
40,60
15,48
8,51
81,52
40,60
15,48
66,23
63,70
40,60
15,48
66,23
66,23
15,48
40,60
57,2
78,38
40,60
66,23
40,60
66,23
57,2
40,60
28,36
66,23
40,60
28,36
61,76
40,60
49,45
61,76
28,36
8,51
40,60
28,36
40,60
28,36
28,36
40,60
34,14
66,23
8,51
40,60
40,60
67,8
8,51
66,23
28,36
66,23
28,36
66,23
61,76
66,23
28,36
28,36
66,23
12,81
81,52
12,52
66,23
50,28
66,23
81,52
12,81
66,23
66,23
66,23
66,23
66,23
78,38
66,23
78,38
12,81
28,36
81,23
66,23
81,52
66,23
50,28
12,81
28,36
78,38
78,38
81,52
66,23
12,81
78,38
34,14
66,23
81,52
66,23
81,52
67,8
12,81
66,23
78,38
81,52
28,36
12,81
81,52
81,52
65,37
12,81
28,36
66,23
28,36
65,37
65,37
28,36
29,1
65,37
28,36
29,1
28,36
67,8
24,84
65,37
13,53
65,37
12,23
65,37
12,23
4,84
34,14
4,84
78,38
12,23
4,84
34,14
78,38
34,14
28,36
78,38
67,51
12,23
34,14
12,52
28,36
67,51
23,52
66,23
34,14
67,51
28,36
81,29
43,11
65,37
55,62
28,36
43,11
61,76
28,36
34,14
66,23
46,26
55,62
4,84
43,11
28,36
43,11
34,14
55,62
67,51
4,84
24,84
67,51
43,11
39,18
43,11
12,23
63,81
81,52
55,62
43,11
39,18
55,62
43,11
39,18
67,51
28,36
39,18
34,14
43,11
55,62
55,62
67,51
39,18
34,14
43,11
28,36
55,62
34,14
28,36
43,11
28,36
34,14
43,11
50,28
43,11
67,51
81,52
43,11
36,30
78,38
81,52
43,11
12,23
67,51
28,36
43,11
28,36
66,23
34,14
78,38
12,23
81,52
54,70
43,11
28,36
66,23
81,52
43,11
54,70
28,36
78,38
4,70
43,11
54,70
78,38
4,70
67,51
66,23
81,52
66,23
4,70
43,11
54,70
43,11
4,70
13,53
81,52
54,70
66,23
78,38
66,23
78,38
43,11
4,70
66,23
78,38
43,11
4,70
54,4
14,64
43,11
66,23
4,70
28,36
28,30
4,70
66,23
43,11
67,51
54,70
28,36
43,11
4,70
54,70
54,4
66,23
4,70
43,11
54,4
4,70
28,36
54,70
67,51
4,70
66,23
54,70
67,51
27,36
28,36
4,70
28,36
66,23
67,51
66,23
67,51
43,11
28,36
67,51
66,23
27,28
54,70
67,51
66,23
43,11
67,51
28,36
50,28
54,70
81,52
66,23
78,38
81,52
67,51
28,36
54,70
55,62
67,51
28,36
66,23
66,23
67,51
32,31
28,36
67,51
43,11
28,36
66,23
28,36
66,23
67,51
43,11
16,42
67,51
28,36
16,42
55,62
81,52
66,23
43,11
86,47
50,28
55,62
28,36
81,52
50,28
55,62
86,47
50,36
55,62
50,28
86,47
28,36
66,23
79,47
67,51
86,47
50,36
43,11
55,62
79,47
86,47
50,36
55,62
43,11
27,30
86,79
43,11
16,42
67,51
50,36
55,62
54,70
79,47
34,14
67,51
79,47
50,36
55,62
14,64
54,70
27,28
55,62
43,11
66,23
67,51
53,58
50,36
55,62
53,58
27,50
43,11
50,36
66,23
67,51
55,62
53,58
66,23
67,51
67,51
66,23
54,70
53,58
55,62
55,62
67,51
66,23
67,51
16,42
55,62
66,23
54,70
66,23
67,51
16,42
55,62
15,48
67,51
14,64
66,23
54,70
55,62
66,23
55,62
54,70
67,51
14,64
67,51
55,62
67,51
54,70
54,70
15,48
55,62
67,51
43,11
55,62
66,23
67,51
15,48
55,62
66,23
67,51
55,62
46,21
50,36
67,51
66,23
15,48
55,62
46,21
67,51
66,23
67,51
66,23
81,52
15,48
46,21
67,51
66,23
16,42
46,21
81,52
50,36
27,36
15,48
27,36
81,52
55,62
66,23
54,70
46,21
43,11
15,48
67,51
81,52
67,51
15,48
66,23
55,62
46,21
67,51
81,52
55,62
46,21
67,51
8,51
63,70
81,52
46,21
81,52
54,70
63,70
67,51
63,54
54,70
50,36
66,23
78,38
67,51
63,54
81,52
55,62
46,21
46,21
14,64
54,70
67,51
50,36
81,52
63,70
66,23
28,36
78,38
14,64
27,36
27,28
81,52
67,51
67,8
50,36
27,36
14,64
28,36
67,51
78,38
66,23
27,28
32,31
46,21
67,51
27,36
66,23
32,31
67,51
27,36
66,23
46,26
66,23
27,36
67,51
46,26
50,36
66,23
67,51
14,64
34,14
34,14
67,51
50,36
66,23
66,23
67,51
50,36
81,52
41,14
66,23
50,36
67,51
41,64
67,51
66,23
81,52
50,36
8,51
81,52
67,51
41,14
50,36
66,23
81,52
67,51
66,23
67,51
66,23
66,23
81,52
27,36
66,23
34,14
81,52
50,36
66,23
34,14
86,79
50,36
66,23
66,23
18,59
46,26
66,23
18,59
18,59
26,21
54,70
69,47
19,75
67,51
18,59
46,26
54,70
69,47
41,14
86,69
26,21
44,41
66,23
81,52
8,51
41,64
86,69
66,23
18,59
67,8
66,23
81,52
26,21
18,59
8,51
86,69
27,50
66,23
27,36
67,51
67,8
81,52
1,33
8,51
18,59
66,23
46,26
81,52
1,33
27,50
40,60
18,59
66,23
46,26
40,60
27,50
4,84
18,59
1,33
27,50
40,60
66,23
41,14
34,41
66,23
1,33
4,84
50,36
46,26
34,14
40,60
27,50
40,60
4,84
50,36
27,50
40,60
1,33
34,14
46,26
66,23
57,68
1,33
34,14
40,60
46,26
66,23
1,33
46,26
68,2
50,36
40,60
18,59
81,52
66,23
50,36
41,64
40,60
81,52
1,33
46,26
40,60
66,23
44,41
81,52
41,64
1,33
66,23
1,33
40,60
41,64
18,59
50,28
27,28
50,36
4,84
86,79
1,33
66,23
27,36
28,36
26,21
34,14
40,60
66,23
28,36
41,64
50,36
1,33
40,60
26,21
41,14
4,84
69,47
1,33
27,36
41,64
41,14
40,60
27,28
40,60
44,41
27,28
66,23
69,47
41,64
1,33
53,58
69,47
41,14
27,28
40,60
39,18
53,58
66,23
41,14
1,33
79,69
40,60
26,21
79,69
81,52
40,60
86,79
79,47
39,18
1,33
4,84
1,33
40,60
39,59
86,79
86,69
4,84
66,23
50,36
63,81
53,58
26,21
86,79
66,23
40,60
4,84
40,60
53,58
26,21
68,2
4,84
86,79
68,2
4,84
40,60
41,14
26,21
86,79
53,58
40,60
41,14
79,69
26,21
53,58
41,14
79,69
4,84
86,79
46,26
40,60
41,64
68,2
46,26
40,60
26,21
41,14
68,2
54,70
26,21
40,60
46,26
50,36
26,21
40,60
53,58
41,14
68,2
53,58
41,14
50,36
40,60
14,64
86,79
40,60
86,69
86,79
26,21
40,60
14,64
66,23
86,69
14,64
26,21
86,79
40,60
66,23
86,79
40,60
81,52
18,59
49,45
40,60
68,2
18,59
68,2
18,59
49,45
40,60
66,23
27,36
66,23
40,60
49,45
68,2
50,36
66,23
49,45
40,60
86,79
54,70
66,23
54,70
49,45
50,36
86,79
49,45
66,23
27,36
86,47
66,23
68,2
66,23
54,70
66,23
54,70
54,70
54,70
53,58
49,45
49,45
14,64
54,70
53,58
59,3
32,31
54,70
59,3
54,70
32,31
53,58
67,51
32,31
59,3
53,58
54,70
67,51
59,3
54,70
14,64
67,51
54,70
66,23
67,51
14,64
54,70
66,23
81,52
67,51
68,2
57,68
57,2
49,45
14,64
67,51
59,3
49,45
54,70
66,23
14,64
46,21
67,51
59,3
68,2
16,38
67,51
57,2
68,2
43,11
54,70
67,51
68,2
49,45
66,23
57,2
49,45
66,23
16,38
69,47
54,70
67,51
28,36
79,69
57,2
32,31
16,38
54,70
69,47
67,51
28,36
16,38
57,2
14,64
67,51
68,2
66,23
16,38
66,23
79,69
14,64
67,51
6,4
67,51
66,23
14,64
66,23
67,51
57,2
39,3
67,51
6,4
57,2
79,69
67,51
66,23
6,4
57,2
65,37
65,37
79,69
66,23
6,4
50,28
50,36
57,2
66,23
67,51
39,3
59,3
81,52
53,58
28,36
79,69
6,4
79,69
53,58
28,36
81,52
6,4
57,2
39,3
6,4
53,58
28,36
65,37
57,2
66,23
14,64
81,52
82,60
66,23
28,36
79,69
57,2
14,64
53,58
86,79
6,4
66,23
57,2
6,4
81,52
14,64
53,58
28,36
79,69
14,64
81,52
67,51
57,2
28,36
53,58
6,4
53,58
79,69
67,51
14,64
6,4
65,37
6,4
57,2
14,64
53,58
67,51
18,59
14,64
53,58
50,28
50,36
18,59
67,51
57,2
46,21
53,58
6,4
57,2
14,64
86,79
18,59
53,58
18,59
6,4
57,2
14,64
86,79
50,36
46,21
57,2
69,47
18,59
53,58
16,42
79,69
14,64
86,79
28,36
50,28
16,42
28,36
34,14
6,4
53,58
14,64
79,69
67,51
65,37
18,59
16,42
41,14
6,4
43,11
18,59
67,51
53,58
39,3
18,59
41,14
53,58
16,42
6,4
53,58
39,3
67,51
57,2
41,14
68,2
28,36
18,59
16,42
6,4
6,4
18,59
53,58
67,51
16,42
6,4
59,3
16,42
67,51
43,11
41,14
18,59
16,42
65,37
16,42
65,37
39,18
43,11
28,36
65,37
6,4
16,42
39,18
81,52
43,11
65,37
39,18
67,51
16,42
6,4
67,51
16,42
81,52
66,23
67,51
66,23
16,42
6,4
16,42
67,51
6,4
66,23
66,23
41,14
67,51
6,4
67,51
6,4
41,14
66,23
6,4
67,51
41,14
54,70
6,4
67,51
49,45
16,42
18,59
27,28
15,48
67,51
6,4
65,37
49,45
16,42
15,48
6,4
67,51
6,4
16,42
67,51
6,4
16,42
67,51
67,51
6,4
16,42
67,51
6,4
16,42
41,14
6,4
67,51
54,70
16,42
78,38
6,4
18,59
16,42
49,45
28,30
78,38
6,4
16,42
16,42
66,23
27,28
78,38
67,51
49,45
16,42
27,28
16,42
67,51
66,23
16,42
67,51
41,14
86,79
16,42
67,51
6,4
16,42
31,37
67,51
16,42
31,37
7,9
67,51
16,42
7,9
6,4
67,51
67,51
86,47
19,75
7,9
16,42
19,75
27,28
7,9
27,30
16,42
6,4
49,45
86,47
86,79
27,30
19,75
50,28
86,79
6,4
8,51
27,30
50,28
86,79
8,51
27,30
6,4
27,30
6,4
50,28
6,4
27,30
16,42
50,28
6,4
50,28
50,28
27,30
6,4
41,14
16,42
19,75
16,42
27,30
50,28
6,4
41,14
27,30
6,4
19,75
50,28
16,42
39,59
39,59
16,42
86,79
27,30
6,4
41,14
50,28
39,59
6,4
19,75
41,14
34,41
16,42
39,59
27,30
6,4
6,4
39,59
27,30
86,79
39,59
16,42
39,59
6,4
16,42
41,14
27,30
16,42
31,37
41,64
6,4
39,59
53,58
6,4
39,59
16,42
39,59
31,37
6,4
49,45
66,23
16,42
6,4
86,47
31,37
49,45
86,47
27,28
31,37
27,36
27,36
14,64
27,36
49,45
41,14
49,45
41,64
27,36
50,36
49,45
79,69
69,47
66,23
49,45
53,58
49,45
19,75
4,84
53,58
19,75
4,84
16,42
61,76
61,76
4,84
16,42
49,45
61,76
16,42
79,69
27,28
16,42
16,42
27,28
50,28
27,28
4,84
27,50
16,42
4,84
66,23
50,28
50,36
79,47
50,36
49,45
4,84
50,28
49,45
50,36
50,28
79,47
4,84
49,45
28,36
4,84
4,84
14,64
49,45
66,23
4,84
14,64
66,23
14,64
4,84
79,47
4,84
66,23
49,45
79,47
28,36
16,42
4,84
28,36
79,47
4,84
53,58
16,42
53,58
4,84
79,47
79,47
4,84
53,58
8,51
4,84
79,47
8,51
79,47
4,84
4,84
79,47
8,51
4,84
79,47
4,84
86,79
79,47
80,77
4,84
53,58
79,47
8,51
4,84
4,84
8,51
79,47
4,84
34,14
15,48
79,47
67,51
4,84
15,48
8,51
15,48
8,51
4,84
19,75
15,48
8,51
4,84
67,51
4,84
15,48
4,84
50,36
15,48
4,84
28,36
28,36
15,48
4,84
4,84
15,48
28,36
15,48
4,84
80,77
28,36
50,28
4,84
53,58
27,30
27,30
50,28
13,53
4,84
28,36
4,84
41,14
67,8
4,84
28,36
79,47
31,37
31,37
79,47
4,84
31,37
79,47
4,84
31,37
79,47
4,84
31,37
27,30
79,47
4,84
27,30
79,47
4,84
31,37
50,28
31,37
4,84
27,30
53,58
31,37
27,30
4,84
31,37
4,84
53,58
50,28
27,30
46,21
50,28
31,37
4,84
43,11
27,30
50,28
46,21
28,36
4,84
31,37
41,14
27,30
28,36
16,42
46,21
31,37
4,84
31,37
16,42
50,36
4,84
46,21
34,14
4,84
16,42
31,37
46,21
28,36
31,37
4,84
46,21
50,36
16,42
4,84
46,21
31,37
14,64
31,37
50,36
54,70
4,84
31,37
43,11
41,14
4,84
31,37
54,70
16,42
31,37
31,37
16,42
19,75
53,58
19,75
31,37
16,42
27,30
31,37
19,75
50,28
31,37
50,36
31,37
54,70
16,42
19,75
53,58
50,36
31,37
54,70
28,36
19,75
54,70
41,14
19,75
28,36
